1n,2n,3n,4n,5n,6r,7r,8r,9r,10r,11r,12n,13n,14n,15n,16n,17n,18n,19n,20n,21n,22n,23n,24n,25n,26n,27n,28n,29n,30n,31n,32n,33n,34n,35n,36r,37r,38r,39r,40r,41r,42r,43r,44r,45r,46r,47r,48r,49r,50r,51r,52r,53r,54r,55r,56r,57r,58r,59r,60r,61r,62r,63r,64r,65r,66r,67r,68r,69r,70r,71r,72r,73r,74r,75r,76r,77r,78r,79r,80r,81r,82r,83r,84n,85n,86n,87n,88n,89n,90r,91r,92r,93r,94r,95r,96r,97r,98r,99r,100r,101r
0.0561741,0.6197904,0.04103887,0.1439602,0.4544268,0.6599649,0.6571043,0.5790122,0.6715086,0.5482907,0.6808301,0.5709676,0.7744632,0.5216184,0.6615506,0.6668378,0.5359378,0.5816058,0.6873688,0.5961622,0.6824756,0.4765059,0.6599346,0.1109476,0.03993323,0.1154496,0.3585389,0.08103593,0.1884342,0.5089831,0.4390113,0.5332614,0.6950667,0.843237,0.4964029,0.5214804,0.5300892,0.5180453,0.6940446,0.5561385,0.6312688,0.4150477,0.7086831,0.4330174,0.3901453,0.5345922,0.5855424,0.009530869,0.06528651,0.3034328,0.5124986,0.5649573,0.5457188,0.3781532,0.4196013,0.4523977,0.432366,0.7847124,0.5126082,0.5834954,0.4539138,0.5546,0.4628626,0.6664492,0.2338755,0.08027364,0.4344113,0.6014311,0.1267229,0.2895221,0.3072682,0.2739407,0.4726811,0.409663,0.5761783,0.6984853,0.5919671,0.6520163,0.6084702,0.7106704,0.3343309,0.6453694,0.437722,0.5860751,0.5061478,0.707154,0.4774688,0.6743771,0.7571681,0.1345545,0.02906197,0.554849,0.6757331,0.5800803,0.6567066,0.7192416,0.5605711,0.5972188,0.7177935,0.7357541,0.5605722
0.04787024,0.6137503,0.04007106,0.1475353,0.4591166,0.6572388,0.6676089,0.5722533,0.6576766,0.5557675,0.684648,0.5801856,0.7669269,0.5242008,0.6610789,0.6676505,0.5358509,0.5832955,0.6917695,0.608313,0.6821283,0.4667391,0.6587754,0.1074194,0.06105078,0.1047235,0.3541779,0.05693975,0.2013155,0.5143723,0.4447358,0.5018826,0.6898537,0.8418828,0.5081133,0.5169681,0.5285997,0.5159119,0.6950526,0.5597215,0.6300998,0.4038344,0.7069246,0.4318967,0.3893605,0.5342359,0.5866283,0.01740604,0.06626518,0.3035207,0.5164259,0.5663427,0.5443876,0.3766711,0.4279995,0.458278,0.4276834,0.7807379,0.5204466,0.6220028,0.4483136,0.5819436,0.4608021,0.6608553,0.2247286,0.06327341,0.426322,0.5969363,0.12187,0.2613336,0.2709782,0.2877386,0.4808864,0.4028887,0.5747575,0.7113046,0.5828309,0.6438411,0.5839268,0.7183096,0.363129,0.6369969,0.4346492,0.5860454,0.5053583,0.7153652,0.4976487,0.6330797,0.7605096,0.1174667,0.03354869,0.5487442,0.6451395,0.571132,0.6560977,0.7154062,0.5573774,0.6049561,0.7208692,0.7345897,0.5649003
0.06706095,0.5932695,0.04410237,0.1424552,0.4549946,0.6559622,0.6728173,0.5577351,0.6835412,0.5439051,0.6882287,0.5571355,0.7461762,0.52613,0.6605633,0.6698009,0.5358384,0.5798196,0.6821021,0.6339924,0.6821393,0.4694674,0.6581944,0.1012056,0.1039394,0.08764818,0.3483229,0.1085951,0.1835291,0.5043346,0.4357352,0.5671979,0.6873435,0.8333656,0.5245542,0.5347471,0.5315593,0.512139,0.6874316,0.5668527,0.625996,0.4271968,0.708823,0.4356005,0.3883971,0.5320655,0.5840723,0.02307097,0.06658776,0.3017676,0.518039,0.5690054,0.5416651,0.3693067,0.4147101,0.4752444,0.417215,0.7732195,0.5002387,0.6578505,0.4416029,0.527338,0.4534286,0.6556512,0.1994964,0.09517696,0.4179839,0.5427991,0.1102711,0.2449098,0.3828438,0.2952303,0.46839,0.4297064,0.5737363,0.7312606,0.5782477,0.6563954,0.5718781,0.6996191,0.4232836,0.617619,0.4259779,0.5863519,0.5022517,0.7179682,0.4846696,0.7001427,0.7517813,0.1104533,0.03660481,0.543399,0.6168643,0.522462,0.6516038,0.7072667,0.5542443,0.6090503,0.7163948,0.7328938,0.5687698
0.06279115,0.5854617,0.03968018,0.1421242,0.452506,0.6535434,0.6828591,0.5651318,0.6832275,0.5350065,0.6955863,0.5666115,0.7591376,0.5269727,0.6606947,0.6691389,0.5357456,0.5803499,0.6847886,0.6463396,0.6819527,0.4646287,0.6574854,0.0953859,0.124714,0.09932324,0.3387513,0.09490132,0.179919,0.5010405,0.4295344,0.5504104,0.6846403,0.8374907,0.5159099,0.5261624,0.5331425,0.5144016,0.689014,0.5733158,0.6249397,0.4210694,0.7065492,0.4343903,0.3869924,0.5301507,0.582685,0.02078496,0.06610308,0.3024401,0.5204741,0.5673881,0.5431222,0.3719804,0.3996474,0.4702646,0.4224171,0.7620022,0.5042762,0.6358383,0.4258636,0.5358101,0.4465498,0.6453418,0.205686,0.1148645,0.4107281,0.5299569,0.1049887,0.2098182,0.3291876,0.32121,0.4638223,0.4230096,0.5729643,0.7183779,0.5733018,0.661036,0.5520229,0.6570935,0.4515072,0.6069922,0.4289439,0.5859909,0.5011039,0.7216814,0.4700138,0.6850381,0.7491335,0.1038623,0.05185733,0.5449406,0.63961,0.5475252,0.6574314,0.7047842,0.551195,0.6130762,0.7132931,0.7324749,0.5730122
0.07155111,0.6005059,0.04303805,0.143183,0.4578767,0.6547259,0.677932,0.550721,0.6832391,0.5396317,0.6919678,0.561911,0.7523777,0.5279376,0.6607839,0.6683913,0.5357332,0.579216,0.6793434,0.6591768,0.6821005,0.472601,0.6575338,0.08890474,0.1439169,0.09389358,0.3294834,0.1236335,0.1781226,0.4980087,0.4324279,0.5842931,0.6822063,0.8292088,0.5340325,0.5309614,0.5348371,0.509609,0.6906257,0.5700762,0.6279882,0.4335611,0.7061687,0.4370099,0.3877483,0.5338441,0.5809993,0.01913041,0.06469081,0.3014763,0.5192749,0.5685242,0.5401717,0.3671769,0.4080072,0.4737796,0.4127814,0.7446963,0.5085807,0.6485834,0.4343516,0.5444985,0.4502239,0.6387382,0.2101356,0.1065461,0.4036872,0.5466031,0.1170557,0.2282561,0.3568581,0.30744,0.4592333,0.4363574,0.5721577,0.7250929,0.5681881,0.6657311,0.561416,0.6827075,0.4766388,0.5968283,0.4229788,0.5860586,0.5044759,0.7232969,0.4617717,0.6940753,0.7465474,0.1016326,0.04346937,0.5467152,0.6008027,0.535136,0.6560232,0.7098735,0.5479363,0.6173291,0.7146796,0.7332841,0.5769506
0.08077034,0.5773987,0.03820235,0.1422418,0.461987,0.6523094,0.6875109,0.5432894,0.6817344,0.5256897,0.7049735,0.5406647,0.7356344,0.5287001,0.6602936,0.6726784,0.535622,0.5773122,0.6714296,0.6834067,0.6822019,0.4646208,0.6599462,0.07295925,0.1833156,0.08206939,0.3227606,0.1540742,0.1759134,0.4917123,0.4242344,0.6188573,0.6791796,0.8197345,0.5443646,0.5377434,0.5395241,0.5043222,0.6844662,0.576228,0.6230707,0.4499571,0.7065468,0.4430042,0.3855815,0.5283787,0.5792285,0.02498121,0.06177289,0.3010996,0.5229352,0.5689586,0.5371292,0.3646168,0.3901344,0.4745743,0.3956488,0.7369415,0.491209,0.6638647,0.4167904,0.5228595,0.4422387,0.6093356,0.193415,0.1210051,0.3786357,0.5140971,0.0997218,0.1905386,0.4137778,0.3610097,0.4486866,0.4496115,0.5706179,0.742337,0.5627784,0.6678534,0.5422931,0.6294273,0.5172446,0.5756382,0.4197644,0.5871557,0.498799,0.7117263,0.4444228,0.7032284,0.7445707,0.09906967,0.06460646,0.5399553,0.5956877,0.4976394,0.6436707,0.7025156,0.5446227,0.6262563,0.7116297,0.7318573,0.5884236
0.076545,0.5595508,0.04053249,0.1415759,0.4675612,0.651132,0.6960968,0.5362139,0.6650688,0.5206295,0.6987336,0.5522042,0.7409396,0.529012,0.6604468,0.6706769,0.5357332,0.5779189,0.673977,0.6947176,0.6821105,0.4690437,0.662139,0.08109328,0.203229,0.07595991,0.3177101,0.1679056,0.1747639,0.4951191,0.4267603,0.6351762,0.6731915,0.8240765,0.5551893,0.5423667,0.5361552,0.5056491,0.6832067,0.581825,0.6227468,0.4392791,0.7063489,0.4409447,0.3845554,0.525741,0.5775916,0.02584664,0.06154378,0.3020882,0.5214993,0.568042,0.5356264,0.3627415,0.3790774,0.4644712,0.4070477,0.6953315,0.4957617,0.669097,0.4061923,0.5180787,0.4339617,0.6196586,0.184886,0.1266302,0.3875284,0.5044735,0.09533434,0.17036,0.4440162,0.3397893,0.4540783,0.4562429,0.5697957,0.7364172,0.5516028,0.6768331,0.5337828,0.6244885,0.5343348,0.586754,0.4134288,0.586517,0.5034397,0.69852,0.4342839,0.7001601,0.7423991,0.1015886,0.07925626,0.5407907,0.5791376,0.5092888,0.6328211,0.6980051,0.5372068,0.6308613,0.7091864,0.7313749,0.580802
0.0859271,0.5683807,0.03864523,0.1423999,0.4746048,0.6498115,0.6919184,0.5291443,0.6698215,0.530511,0.7018974,0.5466552,0.7319638,0.5284659,0.6599195,0.6716155,0.5357025,0.5785778,0.6766995,0.6714688,0.6822299,0.4661958,0.6582822,0.0648298,0.1640436,0.06902231,0.3154239,0.1396194,0.1733484,0.4882958,0.4217641,0.6016414,0.6762866,0.8155649,0.5666671,0.5405072,0.5378754,0.5073541,0.6858168,0.5791399,0.6248641,0.445242,0.7057555,0.4390938,0.3863271,0.5266606,0.5760309,0.02547733,0.05988616,0.3031373,0.5222735,0.569092,0.5387391,0.3633238,0.3664109,0.4697768,0.4022364,0.7283894,0.4865411,0.6710743,0.3944293,0.5192262,0.438549,0.625785,0.1756401,0.1231473,0.3959803,0.4959044,0.09195776,0.1489296,0.4743833,0.3852633,0.4432442,0.442809,0.5693974,0.7399186,0.5573802,0.6721649,0.5253866,0.6784607,0.4987553,0.5642605,0.4165775,0.5865705,0.4999559,0.7054284,0.4532615,0.7028203,0.7392268,0.09993467,0.09872673,0.5419753,0.5841882,0.4840091,0.6190168,0.7000403,0.5411582,0.6216863,0.7102121,0.7314594,0.5846856
0.09886791,0.5289733,0.04031944,0.1405245,0.4820717,0.6468704,0.6998062,0.5222375,0.6611822,0.5104555,0.7105338,0.5266446,0.7246986,0.5281299,0.6575015,0.6748441,0.5355911,0.5759825,0.6688397,0.7051567,0.6818799,0.4736064,0.6643873,0.05548066,0.2213293,0.06225011,0.3032539,0.1794933,0.171884,0.4751299,0.4164991,0.6656687,0.6627784,0.8116074,0.590187,0.5440555,0.5420744,0.50225,0.680374,0.5842423,0.6211017,0.4581575,0.7048818,0.4447367,0.3822923,0.5250271,0.5744168,0.02652608,0.0578639,0.3016204,0.5231308,0.5619458,0.53245,0.3628928,0.3356398,0.4559459,0.39022,0.7041162,0.4765981,0.6677667,0.3665266,0.5155464,0.4258586,0.5854703,0.1648763,0.1253024,0.3453019,0.4743313,0.08256863,0.1273757,0.5305196,0.4710784,0.4375698,0.4630581,0.5683487,0.743827,0.5462087,0.6889135,0.5179089,0.5779484,0.5575338,0.5525733,0.4096842,0.5863302,0.4982657,0.6865034,0.4240579,0.6886414,0.7353808,0.1068424,0.1436985,0.539724,0.5632736,0.4720088,0.5853695,0.6933827,0.5296804,0.6395162,0.7077376,0.732219,0.598375
0.09532027,0.5498284,0.03957489,0.1410793,0.4906437,0.645228,0.7031283,0.5088986,0.6744669,0.5050968,0.7128816,0.5339757,0.7286633,0.5269127,0.6584232,0.6748819,0.5356715,0.5739084,0.6663468,0.7239414,0.6818877,0.4864867,0.668436,0.04533199,0.238474,0.04643809,0.3085304,0.1958635,0.1685525,0.4840782,0.4191515,0.6513167,0.6664571,0.8079441,0.5782867,0.5460077,0.5404743,0.5034032,0.6782612,0.5889169,0.6194121,0.4618606,0.705593,0.4481649,0.3833809,0.5243139,0.5703533,0.02750242,0.05884853,0.3025839,0.5227427,0.566673,0.5313275,0.3632201,0.3521827,0.4468294,0.3760568,0.691126,0.4816242,0.6652252,0.3502149,0.5157819,0.4299916,0.5933352,0.1549666,0.116275,0.3686309,0.4839258,0.08555832,0.1042683,0.5024121,0.4110758,0.4254643,0.4702175,0.5690531,0.7445783,0.5358366,0.6812512,0.5103217,0.6246759,0.5440965,0.5262428,0.4062225,0.5871738,0.4978922,0.6870168,0.4010101,0.680582,0.7316822,0.1214763,0.1194192,0.5387987,0.5642784,0.4621152,0.5682728,0.6910855,0.5334411,0.6354212,0.7080607,0.731814,0.5921121
